order_id,email,transaction_timestamp,total_item_quantity,purchase_revenue_in_usd,unique_items,items
285712,wbrown@gonzales-miranda.com,1592521889512254,2,1071.0,1,"""[{""""coupon"""":""""NEWBED10"""""
277921,campbellkatrina@phillips-duarte.com,1592458670364116,1,850.5,1,"""[{""""coupon"""":""""NEWBED10"""""
274566,gregorytorres@meyer.com,1592419954844631,1,535.5,1,"""[{""""coupon"""":""""NEWBED10"""""
257606,ryanolson@brooks.com,1592213705353885,2,1754.0,2,"""[{""""item_id"""":""""M_PREM_F"""""
257628,kimberly68@mcpherson.net,1592214238807084,1,1045.0,1,"""[{""""item_id"""":""""M_STAN_Q"""""
289539,levans13@hotmail.com,1592572270401950,2,2016.0,2,"""[{""""coupon"""":""""NEWBED10"""""
257794,anthonylopez@gmail.com,1592218840420069,1,1045.0,1,"""[{""""item_id"""":""""M_STAN_Q"""""
257918,wlarson@sanchez.info,1592221370370320,1,1695.0,1,"""[{""""item_id"""":""""M_PREM_F"""""
257798,hernandezjohnny@ball.com,1592218929139881,1,1695.0,1,"""[{""""item_id"""":""""M_PREM_F"""""
258127,laura40@reynolds.com,1592224798871113,1,1195.0,1,"""[{""""item_id"""":""""M_STAN_K"""""
257923,hughesmichelle@hotmail.com,1592221432003068,1,1795.0,1,"""[{""""item_id"""":""""M_PREM_Q"""""
258155,dcole@underwood-evans.net,1592225225531188,1,1795.0,1,"""[{""""item_id"""":""""M_PREM_Q"""""
258115,amanda2576@yahoo.com,1592224637223998,1,1695.0,1,"""[{""""item_id"""":""""M_PREM_F"""""
278572,jdixon@steele-kennedy.net,1592474913337711,1,535.5,1,"""[{""""coupon"""":""""NEWBED10"""""
298991,jamie3419@hotmail.com,1592636268357203,1,940.5,1,"""[{""""coupon"""":""""NEWBED10"""""
258561,ayaladavid@hotmail.com,1592229312105129,1,595.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
275792,meganmiller@gmail.com,1592427703572736,1,535.5,1,"""[{""""coupon"""":""""NEWBED10"""""
258384,jennifer100@yahoo.com,1592227857720759,1,595.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
281527,randolphjimmy@hotmail.com,1592498653047331,1,535.5,1,"""[{""""coupon"""":""""NEWBED10"""""
258653,gregorygarcia24@gmail.com,1592230215493941,1,1195.0,1,"""[{""""item_id"""":""""M_STAN_K"""""
259567,devindorsey@yahoo.com,1592237009933608,2,1190.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
259233,jesus64@gmail.com,1592234722391801,1,1045.0,1,"""[{""""item_id"""":""""M_STAN_Q"""""
288311,hallryan9@gmail.com,1592560621183642,2,1686.6,2,"""[{""""coupon"""":""""NEWBED10"""""
259306,davery@gmail.com,1592235232317440,2,1190.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
284378,carterautumn@dudley-sullivan.com,1592513092147896,1,940.5,1,"""[{""""coupon"""":""""NEWBED10"""""
259273,joel25@cruz-brewer.com,1592234995490891,1,1045.0,1,"""[{""""item_id"""":""""M_STAN_Q"""""
277955,boothjeff@lopez.com,1592459987942459,2,903.6,2,"""[{""""coupon"""":""""NEWBED10"""""
277614,johnssamantha@yahoo.com,1592449450374531,1,1795.5,1,"""[{""""coupon"""":""""NEWBED10"""""
259559,aaronjones@yahoo.com,1592236947810565,1,595.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
259423,lgregory@harrison.com,1592236066689728,1,595.0,1,"""[{""""item_id"""":""""M_STAN_T"""""
